block,style,policy,default_uid,style_uid,offset_ms,tol_ms,f1,hits,twice_hits,den,default_cuts,style_cuts,default_total,style_total,phone_null_f1,grid_f1,word_warp_f1,duration_warp_f1,strict_phone_sequence
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,emotion_3409,ex01_default_00279,ex01_happy_00279,0.0,40.0,0.8695652173913043,20,40,46,22,24,22,24,,,0.782608695652174,0.5652173913043478,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,emotion_3409,ex01_default_00279,ex01_happy_00279,12.5,20.0,0.8260869565217391,19,38,46,22,24,22,24,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,emotion_3409,ex01_default_00279,ex01_happy_00279,12.5,40.0,0.8695652173913043,20,40,46,22,24,22,24,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,asr_3408,ex01_default_00279,ex01_sad_00279,0.0,20.0,0.7727272727272727,34,68,88,45,43,45,43,0.5051136363636364,0.4378227194492255,0.8181818181818182,0.4772727272727273,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,asr_3408,ex01_default_00279,ex01_sad_00279,0.0,40.0,0.9090909090909091,40,80,88,45,43,45,43,,,0.9090909090909091,0.6818181818181818,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,asr_3408,ex01_default_00279,ex01_sad_00279,12.5,20.0,0.7727272727272727,34,68,88,45,43,45,43,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,asr_3408,ex01_default_00279,ex01_sad_00279,12.5,40.0,0.9090909090909091,40,80,88,45,43,45,43,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,emotion_3408,ex01_default_00279,ex01_sad_00279,0.0,20.0,0.6363636363636364,14,28,44,23,21,23,21,0.39204545454545453,0.21816168327796231,0.5909090909090909,0.3181818181818182,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,emotion_3408,ex01_default_00279,ex01_sad_00279,0.0,40.0,0.7272727272727273,16,32,44,23,21,23,21,,,0.8181818181818182,0.5454545454545454,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,emotion_3408,ex01_default_00279,ex01_sad_00279,12.5,20.0,0.6818181818181818,15,30,44,23,21,23,21,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,emotion_3408,ex01_default_00279,ex01_sad_00279,12.5,40.0,0.7272727272727273,16,32,44,23,21,23,21,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,intent_3408_last,ex01_default_00279,ex01_sad_00279,0.0,20.0,0.7017543859649122,20,40,57,29,28,29,28,0.3868421052631579,0.256026936026936,0.7017543859649122,0.42105263157894735,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,intent_3408_last,ex01_default_00279,ex01_sad_00279,0.0,40.0,0.8421052631578947,24,48,57,29,28,29,28,,,0.8771929824561403,0.631578947368421,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,intent_3408_last,ex01_default_00279,ex01_sad_00279,12.5,20.0,0.7719298245614035,22,44,57,29,28,29,28,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,intent_3408_last,ex01_default_00279,ex01_sad_00279,12.5,40.0,0.8421052631578947,24,48,57,29,28,29,28,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,speaker_count_3408_last,ex01_default_00279,ex01_sad_00279,0.0,20.0,0.6363636363636364,7,14,22,9,13,9,13,0.34318181818181814,0.13744588744588745,0.7272727272727273,0.2727272727272727,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,speaker_count_3408_last,ex01_default_00279,ex01_sad_00279,0.0,40.0,0.7272727272727273,8,16,22,9,13,9,13,,,0.8181818181818182,0.45454545454545453,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,speaker_count_3408_last,ex01_default_00279,ex01_sad_00279,12.5,20.0,0.6363636363636364,7,14,22,9,13,9,13,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,speaker_count_3408_last,ex01_default_00279,ex01_sad_00279,12.5,40.0,0.7272727272727273,8,16,22,9,13,9,13,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,emotion_3407,ex01_default_00279,ex01_sad_00279,0.0,20.0,0.6521739130434783,15,30,46,21,25,21,25,0.40978260869565214,0.2545983086680762,0.5652173913043478,0.4782608695652174,True
