uid,block,style,policy,cuts,hz
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,confused,emotion_3407,11,5.2705262291031865
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,confused,emotion_3409,13,6.148947267287051
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,confused,intent_3408,22,10.101841939114442
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,confused,speaker_count_3408,20,9.223420900930577
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,asr_3408,47,11.865401847789142
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,emotion_3408,20,5.19111330840775
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,intent_3408_last,29,7.415876154868214
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,speaker_count_3408_last,12,3.213546333776226
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,emotion_3407,23,5.932700923894571
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,emotion_3409,18,4.696721564749868
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,intent_3408,47,11.865401847789142
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,speaker_count_3408,43,10.87661836047338
ex01_confused_00284,ex01::WHERE'D MY POPS GO,confused,asr_3408,16,9.041050357320923
ex01_confused_00284,ex01::WHERE'D MY POPS GO,confused,emotion_3408,7,4.254611932856905
ex01_confused_00284,ex01::WHERE'D MY POPS GO,confused,intent_3408_last,11,6.381917899285358
ex01_confused_00284,ex01::WHERE'D MY POPS GO,confused,speaker_count_3408_last,5,3.190958949642679
ex01_confused_00284,ex01::WHERE'D MY POPS GO,confused,emotion_3407,8,4.786438424464018
ex01_confused_00284,ex01::WHERE'D MY POPS GO,confused,emotion_3409,8,4.786438424464018
ex01_confused_00284,ex01::WHERE'D MY POPS GO,confused,intent_3408,16,9.041050357320923
ex01_confused_00284,ex01::WHERE'D MY POPS GO,confused,speaker_count_3408,16,9.041050357320923
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,confused,asr_3408,36,10.773038287960402
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,confused,emotion_3408,18,5.532100742466152
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,confused,intent_3408_last,26,7.861406318241374
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,confused,speaker_count_3408_last,12,3.7851215606347357
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,confused,emotion_3407,19,5.823263939438055
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,confused,emotion_3409,18,5.532100742466152
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,confused,intent_3408,36,10.773038287960402
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,confused,speaker_count_3408,33,9.899548697044693
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,confused,asr_3408,30,7.795065220807794
