uid,block,policy,retained,lag_ms,envelope_sum,n
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,0,-20,15.131057169380561,21
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,0,0,13.79443602769909,21
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,0,20,12.269253579488232,21
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,0,40,10.715237303750166,21
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,0,60,9.390447630514537,21
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,0,80,8.370945733590526,21
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,0,100,7.632465389932805,21
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,1,-100,2.1792507364211438,7
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,1,-80,1.842919834438089,7
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,1,-60,1.6838658465994145,7
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,1,-40,1.8986519013526129,7
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,1,-20,2.516159913749309,7
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,1,0,3.351390492753782,7
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,1,20,4.223966576131292,7
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,1,40,4.876031686406526,7
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,1,60,5.166277048207552,7
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,1,80,5.175464974723076,7
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,1,100,4.939791936132921,7
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,0,-100,10.062974594657407,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,0,-80,10.561868396496754,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,0,-60,10.701027702143142,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,0,-40,10.36011386260605,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,0,-20,9.610768003767056,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,0,0,8.763085183882218,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,0,20,8.156343989350754,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,0,40,7.765033619477376,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,0,60,7.309046641401993,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,0,80,6.640947449042827,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,0,100,5.808216894074651,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,1,-100,7.750243805678443,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,1,-80,7.5601220566425,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,1,-60,7.549375382463871,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,1,-40,7.691908535833646,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,1,-20,8.036449079362816,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,1,0,8.382741336570655,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,1,20,8.336876166268771,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,1,40,7.826235370679317,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,1,60,7.247678037320093,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,1,80,6.905463259270776,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,1,100,6.764040431991076,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,0,-100,11.539557874776262,17
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,0,-80,11.900629902461423,17
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,0,-60,11.968787212252675,17
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,0,-40,11.669928922065251,17
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,0,-20,11.039133743986014,17
